B772   (Boeing 777-200) with 8PW089 engines,8PW089,PW4084,2,B772-H,
B772   (Boeing 777-200) with 10PW098 engines,10PW098,PW4084D,2,B772-I,
B772   (Boeing 777-200) with 10PW099 engines,10PW099,PW4090,2,B772-J,
B773   (Boeing 777-300) with 2RR027 engines **,2RR027,Trent 892,2,B773-B,B777
B773   (Boeing 777-300) with 5PW076 engines,5PW076,PW4098,2,B773-A,B777
B77L   (Boeing 777-200LR) with 7GE097 engines,7GE097,GE90-110B1,2,B77L-A,
B77L   (Boeing 777-200LR) with 7GE099 engines **,7GE099,GE90-115B,2,B77L-B,
B77W   (Boeing 777-300ER) with 7GE099 engines **,7GE099,GE90-115B,2,B77W-A,
B77W   (Boeing 777-300ER) with 10PW099 engines,10PW099,PW4090,2,B77W-B,
B788   (Boeing 787-8 Dreamliner) with 11GE136 engines**,11GE136,GEnx-1B64,2,B788-A,
B788   (Boeing 787-8 Dreamliner) with 12RR055 engines,12RR055,Trent 1000-A,2,B788-B,
B789   (Boeing 787-9 Dreamliner) with 11GE136 engines,11GE136,GEnx-1B64,2,B789-A,B789
B789   (Boeing 787-9 Dreamliner) with 12RR055 engines **,12RR055,Trent 1000-A,2,B789-B,B789
BA11   (BAC One-Eleven),8RR043,Spey 511,2,BA11-A,
BASS   (Beagle Basset),FOCA-18,TIO-540-J2B2,2,BASS-A,
BD17   (Bede BD-17 Nuggett),FOCA-13,Rotax 582 DCDI,1,BD17-A,
BDOG   (British Aerospace Bulldog),FOCA-2,IO-360-A1B6,1,BDOG-A,
BE17   (Beech 17 Staggerwing),FOCA-18,TIO-540-J2B2,1,BE17-A,
BE18   (Beech 18 (piston)),FOCA-18,TIO-540-J2B2,2,BE18-A,
BE19   (Beech 19 Sport),FOCA-1,IO-320-DIAD,1,BE19-A,
BE23   (Beech 23 Sundowner),FOCA-1,IO-320-DIAD,1,BE23-A,
BE24   (Beech 24 Sierra),FOCA-2,IO-360-A1B6,1,BE24-A,
BE33   (Beech 33 Bonanza),FOCA-19,TSIO-360C,1,BE33-A,
BE35   (Beech 35 Bonanza),FOCA-3,IO-540-T4A5D,1,BE35-A,
BE36   (Beech 36 Bonanza),FOCA-3,IO-540-T4A5D,1,BE36-A,
BE40   (Beech 400 Beechjet),1PW037,JT15D-5 -5A -5B,2,BE40-A,
