MAX_DELAY, STEP_DOMAIN, START_UPPER, STEP_UPPER, START_LOWER, STEP_LOWER, day,dataInstance,checkAircraftBreakdownPeriod,checkAircraftCapacity,checkAircraftCreation,checkAircraftSwap,checkAirportCapacity,checkCancellationofCreatedRotation,checkFixedFlights,checkFlight,checkItinerary,checkPassengerReac,checkRotation,costs, deltaTime, totalDelay, totalCancel, newFlight, taxiFlight
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0024,B_08,0,0,0,0,0,0,0,0,13958,5608,0,20313346.15,1014.964837,16800,97,0,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0024,B_03,0,0,0,0,0,0,0,0,14813,5555,0,16875549.05,1030.983967,16800,97,0,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0025,XB01_DATA,0,0,0,0,0,0,0,0,16343,6186,0,18863732.05,1068.872842,19380,106,2,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0028,B_04,0,0,0,0,0,0,0,0,21103,7976,0,20282190.4,1249.284462,31140,127,0,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0029,A10_6088590,0,0,0,0,0,0,0,0,17137,14344,0,20249407.15,1312.008243,91980,103,0,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0029,A05_6088570,0,0,0,0,0,0,0,0,17828,18986,0,17203890.35,1327.784238,91980,103,0,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0028,B_09,0,0,0,0,0,0,0,0,18208,8123,0,24421705.85,1291.389681,31140,127,0,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0030,XB02_DATA,0,0,0,0,0,0,0,0,10906,34902,0,96847874.55,1370.541888,36060,361,4,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0031,XA04_DATA,0,0,0,0,0,0,0,0,21375,14230,0,20247349.6,1420.38032,105960,96,12,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0031,XA02_DATA,0,0,0,0,0,0,0,0,21486,19214,0,17485748.35,1428.102104,105960,96,12,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0031,B_05,0,0,0,0,0,0,0,0,11586,34397,0,96433420.4,1429.135413,39780,367,0,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0031,XB04_DATA,0,0,0,0,0,0,0,0,12284,39408,0,136497903.2,1443.355012,42480,433,0,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0032,B_10,0,0,0,0,0,0,0,0,11178,34805,0,119849918.4,1476.119576,39780,367,0,-1
901,60,3E+12,2E+11,40000,20000,20210323_2045,A03_6088570,0,0,0,0,0,0,0,0,4719,88,0,868443.25,32.09858561,1500,3,-1,0
901,60,3E+12,2E+11,40000,20000,20210323_2045,A07_6088590,0,0,0,0,0,0,0,0,4797,0,0,213290.75,32.27359986,1260,0,-1,0
901,60,3E+12,2E+11,40000,20000,20210323_2045,XA01_DATA,0,0,0,0,0,0,0,0,4719,178,0,1368313,34.19773984,1500,8,-1,0
901,60,3E+12,2E+11,40000,20000,20210323_2045,A02_6088570,0,0,0,0,0,0,0,0,5547,0,0,204762.3,35.06580472,1260,0,-1,0
901,60,3E+12,2E+11,40000,20000,20210323_2045,A08_6088590,0,0,0,0,0,0,0,0,5482,90,0,1156623.45,34.45275903,1500,3,-1,0
901,60,3E+12,2E+11,40000,20000,20210323_2045,XA03_DATA,0,0,0,0,0,0,0,0,5482,403,0,1877251.15,35.63684869,1500,8,-1,0
901,60,3E+12,2E+11,40000,20000,20210323_2045,A01_6088570,0,0,0,0,0,0,0,0,5281,0,0,31352.85,43.24041557,2580,0,-1,0
901,60,3E+12,2E+11,40000,20000,20210323_2045,A06_6088590,0,0,0,0,0,0,0,0,3877,0,0,35965.75,42.4963522,2580,0,-1,0
901,60,3E+12,2E+11,40000,20000,20210323_2046,A04_6088570,0,0,0,0,0,0,0,0,10963,354,0,449950.65,139.5859883,24180,1,-1,0
901,60,3E+12,2E+11,40000,20000,20210323_2046,A09_6088590,0,0,0,0,0,0,0,0,9365,265,0,517139.8,136.101732,24180,1,-1,0
